timestamp_utc,event,source,user,action,outcome
2026-08-31T14:02:00Z,Simulated secret exposed,repository,dev-lab,credential disclosure,confirmed
2026-08-31T14:08:00Z,Discovery from new source,203.0.113.77,dev-lab,ListBuckets,success
2026-08-31T14:09:00Z,Identity enumeration,203.0.113.77,dev-lab,ListRoles,success
2026-08-31T14:10:00Z,Detection alert,security-analytics,dev-lab,new source + discovery burst,high
2026-08-31T14:14:00Z,Triage confirms owner,analyst,dev-lab,credential owner lookup,confirmed
2026-08-31T14:18:00Z,Credential disabled,iam-admin,dev-lab,DeactivateAccessKey,success
2026-08-31T14:24:00Z,Session and peer activity review,analyst,dev-lab,scope analysis,no exfiltration observed
2026-08-31T14:33:00Z,Least privilege remediation,iam-admin,dev-lab,policy correction,success
2026-08-31T14:46:00Z,Recovery validated,cloud-ops,dev-lab,approved access test,success
2026-08-31T15:15:00Z,Post-incident actions,security,dev-lab,secret scanning + short-lived credential plan,approved
