id,priority,category,summary,resolution_hours,sla_met,root_cause,resolution
INC-001,P2,AWS/IAM,AccessDenied after role change,1.8,yes,Incorrect role mapping,Restored approved role; added mapping validation
INC-002,P2,AWS/Network,Web service unreachable,2.4,yes,Security group omitted HTTPS,Added scoped 443 ingress via approved load balancer
INC-003,P3,Azure/Identity,M365 sign-in blocked,1.2,yes,Conditional Access location rule,Validated user risk and corrected approved exception
INC-004,P2,Linux,Application disk full,2.1,yes,Unbounded application logs,Rotated logs and added disk alert
INC-005,P3,DNS,Internal hostname fails,1.5,yes,Stale DNS record,Corrected record and reduced manual entry risk
INC-006,P3,AWS/S3,Upload denied,0.9,yes,Missing object permission,Updated role policy to required prefix only
INC-007,P2,Monitoring,No alert during CPU spike,2.8,yes,Alarm threshold attached to wrong dimension,Corrected dimension and tested alarm
INC-008,P3,Azure/VM,Admin cannot connect,1.7,yes,NSG management rule removed,Restored approved bastion path; no public RDP
INC-009,P3,GCP/IAM,Analyst cannot read logs,1.1,yes,Viewer role lacked log permission,Assigned scoped logging viewer role
INC-010,P2,Terraform,Pipeline plan fails,2.0,yes,Provider version conflict,Pinned compatible provider and lockfile
INC-011,P3,M365,Shared mailbox missing,0.8,yes,Group membership not synchronized,Corrected membership workflow and verified access
INC-012,P2,AWS/Compute,Instance unhealthy,2.6,yes,Application service failed after reboot,Enabled service startup and health validation
INC-013,P3,Linux,SSH key rejected,1.4,yes,Incorrect file permissions,Corrected permissions; documented secure key handling
INC-014,P2,Security,Suspicious API calls,3.2,yes,Exposed lab access key,Revoked key; contained account; escalated to IR
INC-015,P3,AWS/Network,Private instance cannot reach updates,2.3,yes,Missing egress path,Restored approved NAT/egress design
INC-016,P3,Azure/Identity,New hire lacks application,1.0,yes,Department group omitted,Fixed onboarding group mapping
INC-017,P4,Cloud/Cost,Idle resource review,3.5,yes,Orphaned lab resources,Tagged owner and removed approved idle resources
INC-018,P2,CI/CD,Deployment blocked,2.2,yes,Policy test found public storage,Kept block; fixed IaC to private access
INC-019,P3,GCP/Network,Health check failing,1.9,yes,Firewall omitted health-check source,Added scoped health-check rule
INC-020,P3,Backup,Restore test fails,2.7,yes,Runbook referenced expired snapshot,Updated recovery selection and quarterly restore test
INC-021,P2,Azure/DNS,Private endpoint name resolves public IP,2.1,yes,Private DNS zone link missing,Linked approved VNet to private DNS zone
INC-022,P3,AWS/IAM,Console login works but CLI fails,1.3,yes,CLI used stale credentials,Removed stale profile and validated federated session
INC-023,P2,Linux,API latency after deployment,3.0,yes,Worker process count misconfigured,Restored tested worker count and added deployment check
INC-024,P3,M365,Teams user cannot schedule meeting,1.6,yes,License service plan disabled,Enabled approved service plan and verified propagation
INC-025,P2,AWS/LoadBalancer,Intermittent 502 responses,3.4,yes,One target failed health checks,Removed unhealthy target; fixed app dependency
INC-026,P3,GCP/Storage,Service account cannot read object,1.0,yes,Role bound at wrong project,Moved scoped binding to resource project
INC-027,P2,Azure/Monitoring,Disk alert storms overnight,2.5,yes,Alert threshold too sensitive for batch workload,Adjusted threshold/window using observed baseline
INC-028,P3,Terraform,Unexpected resource replacement,1.9,yes,Immutable property changed,Stopped apply; revised change plan and maintenance approach
INC-029,P2,Security,Privileged account missing MFA,1.1,yes,Break-glass exception applied to wrong account,Corrected exception and required MFA registration
INC-030,P3,Linux,Scheduled job stops running,1.7,yes,Environment variable absent in cron context,Set explicit environment and added job logging
INC-031,P2,AWS/Route53,Failover record does not switch,2.6,yes,Health check monitored wrong endpoint,Corrected health-check target and tested failover
INC-032,P3,Azure/RBAC,Operator can view but cannot restart VM,1.2,yes,Reader role assigned instead of VM Contributor scope,Assigned least-privilege VM operator role
INC-033,P2,GCP/Compute,VM startup script repeatedly fails,2.2,yes,Package repository DNS unavailable at boot,Added retry/backoff and dependency validation
INC-034,P3,M365,OneDrive sync continuously prompts,1.4,yes,Cached token invalid after password reset,Cleared stale token/session and reauthenticated
INC-035,P2,AWS/S3,Application downloads older object version,2.0,yes,Cache key omitted version identifier,Corrected cache behavior and version-aware key
INC-036,P3,Network,VPN user reaches internet but not private subnet,1.8,yes,Private route missing from client profile,Added approved route and verified split tunnel
INC-037,P2,CI/CD,Secret scanning blocks release,1.5,yes,Test token matched real secret pattern,Replaced fixture with clearly fake value and retained scanner
INC-038,P3,Backup,Backup job succeeds but retention too short,1.6,yes,Policy inherited dev retention,Applied production-like retention tag/policy and review
INC-039,P2,Security,Multiple failed logins followed by success,2.9,yes,Password spray simulation against weak lab account,Disabled account; reset credential; enforced MFA; reviewed peer attempts
INC-040,P3,Cloud/Tagging,Cost allocation report has unknown owner,1.2,yes,Owner tag missing on manually created resource,Added ownership tag and CI requirement
